run_accession	study_accession	sample_accession	tax_id	scientific_name	library_name	fastq_ftp	submitted_ftp	sample_alias	sample_title
ERR15664670	PRJEB98069	SAMEA120295655	408170	human gut metagenome	PaPr00000107MP_pod5_NBD24_5kHz_400bps		ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15664670/PaPr00000107MP.tar.gz	PaPr00000107MP_HP	PaPr00000107MP
ERR15664671	PRJEB98069	SAMEA120295666	408170	human gut metagenome	PaPr00000192MP_pod5_NBD24_5kHz_400bps		ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15664671/PaPr00000192MP.tar.gz	PaPr00000192MP_HP	PaPr00000192MP
ERR15664674	PRJEB98069	SAMEA120295659	408170	human gut metagenome	PaPr00000136MP_pod5_NBD24_5kHz_400bps		ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15664674/PaPr00000136MP.tar.gz	PaPr00000136MP_HP	PaPr00000136MP
ERR15664675	PRJEB98069	SAMEA120295491	408170	human gut metagenome	PAOP00000082MP_pod5_NBD24_5kHz_400bps		ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15664675/PAOP00000082MP.tar.gz	PAOP00000082MP_HP	PAOP00000082MP
ERR15664676	PRJEB98069	SAMEA120295674	408170	human gut metagenome	PaPr00000232MP_pod5_NBD24_5kHz_400bps		ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15664676/PaPr00000232MP.tar.gz	PaPr00000232MP_HP	PaPr00000232MP
ERR15664681	PRJEB98069	SAMEA120295435	408170	human gut metagenome	PAOP00000068MP_pod5_NBD24_5kHz_400bps		ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15664681/PAOP00000068MP.tar.gz	PAOP00000068MP_HP	PAOP00000068MP
ERR15664682	PRJEB98069	SAMEA120295663	408170	human gut metagenome	PaPr00000172MP_pod5_NBD24_5kHz_400bps		ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15664682/PaPr00000172MP.tar.gz	PaPr00000172MP_HP	PaPr00000172MP
ERR15664684	PRJEB98069	SAMEA120295222	408170	human gut metagenome	PaOp00000009MP_pod5_NBD24_5kHz_400bps		ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15664684/PaOp00000009MP.tar.gz	PaOp00000009MP_HP	PaOp00000009MP
ERR15665948	PRJEB98069	SAMEA120295668	408170	human gut metagenome	PaPr00000209MP_pod5_NBD24_5kHz_400bps		ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15665948/PaPr00000209MP_R10.4.1_5kHz_NBD114.24.tar.gz	PaPr00000209MP_HP	PaPr00000209MP
ERR15665950	PRJEB98069	SAMEA120295672	408170	human gut metagenome	PaPr00000224MP_pod5_NBD24_5kHz_400bps		ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15665950/PaPr00000224MP_R10.4.1_5kHz_NBD114.24.tar.gz	PaPr00000224MP_HP	PaPr00000224MP
ERR15665951	PRJEB98069	SAMEA120295386	408170	human gut metagenome	PaOp00000055MP_pod5_NBD24_5kHz_400bps		ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15665951/PaOp00000055MP_R10.4.1_5kHz_NBD114.24.tar.gz	PaOp00000055MP_HP	PaOp00000055MP
