sample_barcode	num_reads	bp	study_group
ASYM00000001MP	3001034	453156134	healthy_pouch
ASYM00000002MP	9659229	1458543579	healthy_pouch
ASYM00000003MP	4011288	605704488	healthy_pouch
ASYM00000005MP	2549567	384984617	healthy_pouch
ASYM00000006MP	6256853	944784803	healthy_pouch
ASYM00000007MP	2510594	379099694	healthy_pouch
ASYM00000008MP	2590002	391090302	healthy_pouch
ASYM00000009MP	5134355	775287605	healthy_pouch
ASYM00000010MP	13787437	2081902987	healthy_pouch
ASYM00000011MP	5200024	785203624	healthy_pouch
ASYM00000012MP	4973561	751007711	healthy_pouch
ASYM00000013MP	3854270	581994770	healthy_pouch
ASYM00000014MP	6357402	959967702	healthy_pouch
ASYM00000015MP	4968830	750293330	healthy_pouch
ASYM00000016MP	3034684	458237284	healthy_pouch
ASYM00000017MP	2731577	412468127	healthy_pouch
ASYM00000018MP	7166431	1082131081	healthy_pouch
ASYM00000019MP	4337384	654944984	healthy_pouch
ASYM00000021MP	6089476	919510876	healthy_pouch
ASYM00000023MP	3131780	472898780	healthy_pouch
ASYM00000024MP	3721330	561920830	healthy_pouch
ASYM00000025MP	4165695	629019945	healthy_pouch
ASYM00000026MP	3396913	512933863	healthy_pouch
ASYM00000028MP	4860755	733974005	healthy_pouch
ASYM00000029MP	4968550	750251050	healthy_pouch
ASYM00000030MP	7204218	1087836918	healthy_pouch
ASYM00000032MP	6494261	980633411	healthy_pouch
ASYM00000033MP	5378720	812186720	healthy_pouch
ASYM00000034MP	3926537	592907087	healthy_pouch
ASYM00000037MP	3432826	518356726	healthy_pouch
ASYM00000038MP	4976383	751433833	healthy_pouch
ASYM00000039MP	2849925	430338675	healthy_pouch
ASYM00000040MP	6076597	917566147	healthy_pouch
ASYM00000043MP	3583495	541107745	healthy_pouch
ASYM00000044MP	2092427	315956477	healthy_pouch
ASYM00000046MP	4548818	686871518	healthy_pouch
ASYM00000047MP	2916286	440359186	healthy_pouch
Asym00000007MP	8499196	1283378596	healthy_pouch
DON100000001MP	2882512	435259312	normal_gut
DON100000002MP	2253402	340263702	normal_gut
DON200000001MP	5265983	795163433	normal_gut
DON200000002MP	10054809	1518276159	normal_gut
DON300000003MP	6150591	928739241	normal_gut
DoBa00000008MP	4918344	742669944	normal_gut
DoBa00000018MP	9851122	1487519422	normal_gut
DoBa00000020MP	12480806	1884601706	normal_gut
DoBa00000035MP	12141842	1833418142	normal_gut
DoBa00000038MP	9047820	1366220820	normal_gut
DoBa00000041MP	6383155	963856405	normal_gut
DoBa00000044MP	16128567	2435413617	normal_gut
DoBa00000058MP	8106351	1224059001	normal_gut
DoBa00000059MP	15118233	2282853183	normal_gut
DoBa00000084MP	8326303	1257271753	normal_gut
DoSc00000003MP	10233302	1545228602	normal_gut
DoSc00000017MP	19484998	2942234698	normal_gut
DoSc00000018MP	6600147	996622197	normal_gut
FMTP00000001MP	2347088	354410288	sick_pouch
FMTP00000002MP	3557057	537115607	sick_pouch
FMTP00000003MP	8173983	1234271433	sick_pouch
FMTP00000004MP	4714798	711934498	sick_pouch
FMTP00000005MP	4792849	723720199	sick_pouch
FMTP00000006MP	1517642	229163942	sick_pouch
FMTP00000007MP	3841334	580041434	sick_pouch
POUC00000001MP	7792250	1176629750	sick_pouch
PaPr00000001MP	17629250	2662016750	sick_pouch
PaPr00000011MP	17101000	2582251000	sick_pouch
PaPr00000022MP	12127159	1831201009	sick_pouch
PaPr00000031MP	16070870	2426701370	sick_pouch
PaPr00000035MP	14697484	2219320084	sick_pouch
PaPr00000045MP	9539337	1440439887	sick_pouch
PaPr00000056MP	9324288	1407967488	sick_pouch
PaPr00000064MP	9726586	1468714486	sick_pouch
PaPr00000074MP	21750813	3284372763	sick_pouch
PaPr00000085MP	16056552	2424539352	sick_pouch
PaPr00000088MP	13934607	2104125657	sick_pouch
PaPr00000094MP	6747999	1018947849	sick_pouch
PaPr00000098MP	12191212	1840873012	sick_pouch
PaPr00000107MP	24164539	3648845389	sick_pouch
PaPr00000116MP	6914445	1044081195	sick_pouch
PaPr00000126MP	13022848	1966450048	sick_pouch
PaPr00000136MP	11442686	1727845586	sick_pouch
PaPr00000146MP	14884027	2247488077	sick_pouch
PaPr00000153MP	19214200	2901344200	sick_pouch
PaPr00000162MP	29639282	4475531582	sick_pouch
PaPr00000172MP	12363357	1866866907	sick_pouch
PaPr00000182MP	13685774	2066551874	sick_pouch
PaPr00000191MP	628081	94840231	sick_pouch
PaPr00000200MP	13942083	2105254533	sick_pouch
PaPr00000209MP	20130631	3039725281	sick_pouch
PaPr00000216MP	13399702	2023355002	sick_pouch
PaPr00000223MP	12325947	1861217997	sick_pouch
PaPr00000231MP	11807696	1782962096	sick_pouch
PaPr00000238MP	10427135	1574497385	sick_pouch
PaPr00000245MP	12712344	1919563944	sick_pouch
RASK00000001MP	2749579	415186429	normal_gut
RASK00000003MP	3623670	547174170	normal_gut
RASK00000004MP	5193265	784183015	normal_gut
RASK00000005MP	1952031	294756681	normal_gut
RASK00000006MP	3280199	495310049	normal_gut
RASK00000009MP	2923410	441434910	normal_gut
RASK00000010MP	2383240	359869240	normal_gut
RASK00000013MP	1316757	198830307	normal_gut
RASK00000015MP	2464941	372206091	normal_gut
RASK00000016MP	2754012	415855812	normal_gut
RASK00000017MP	4984593	752673543	normal_gut
RASK00000018MP	3299229	498183579	normal_gut
RASK00000019MP	2740297	413784847	normal_gut
RASK00000021MP	3584289	541227639	normal_gut
RASK00000022MP	1973855	298052105	normal_gut
RASK00000025MP	5325200	804105200	normal_gut
RASK00000027MP	6122758	924536458	normal_gut
RASK00000028MP	3636465	549106215	normal_gut
RASK00000029MP	1936879	292468729	normal_gut
RASK00000030MP	3281351	495484001	normal_gut
RASK00000031MP	3136548	473618748	normal_gut
RASK00000032MP	2396560	361880560	normal_gut
RASK00000033MP	1829590	276268090	normal_gut
RASK00000034MP	2111597	318851147	normal_gut
RASK00000035MP	1630046	246136946	normal_gut
RASK00000036MP	6425113	970192063	normal_gut
RASK00000037MP	2768468	418038668	normal_gut
RASK00000038MP	3330868	502961068	normal_gut
RASK00000039MP	4902308	740248508	normal_gut
RASK00000040MP	2313721	349371871	normal_gut
RASK00000041MP	2881209	435062559	normal_gut
RASK00000042MP	3905631	589750281	normal_gut
RASK00000043MP	3190235	481725485	normal_gut
RASK00000044MP	2422777	365839327	normal_gut
RASK00000046MP	4829417	729241967	normal_gut
RASK00000048MP	4530252	684068052	normal_gut
RASK00000049MP	3104604	468795204	normal_gut
RASK00000050MP	2989053	451347003	normal_gut
RASK00000052MP	3030136	457550536	normal_gut
RASK00000053MP	4889220	738272220	normal_gut
RASK00000055MP	2355310	355651810	normal_gut
RASK00000056MP	2987171	451062821	normal_gut
RASK00000057MP	6609323	998007773	normal_gut
RASK00000061MP	8661029	1307815379	normal_gut
RASK00000062MP	1476956	223020356	normal_gut
RASK00000063MP	4085943	616977393	normal_gut
RASK00000064MP	2915149	440187499	normal_gut
RASK00000065MP	5538624	836332224	normal_gut
RASK00000066MP	3458274	522199374	normal_gut
RASK00000067MP	1899666	286849566	normal_gut
RASK00000068MP	4684028	707288228	normal_gut
RASK00000069MP	3226500	487201500	normal_gut
RASK00000070MP	5419988	818418188	normal_gut
RASK00000071MP	7374655	1113572905	normal_gut
RASK00000073MP	2735034	412990134	normal_gut
RASK00000075MP	3771315	569468565	normal_gut
RASK00000076MP	5708209	861939559	normal_gut
RASK00000079MP	7072356	1067925756	normal_gut
RASK00000080MP	4303347	649805397	normal_gut
RASK00000081MP	3110771	469726421	normal_gut
RASK00000082MP	6590507	995166557	normal_gut
RASK00000083MP	2092784	316010384	normal_gut
RASK00000084MP	2903422	438416722	normal_gut
RASK00000086MP	4450154	671973254	normal_gut
RASK00000087MP	2668817	402991367	normal_gut
RASK00000088MP	2129099	321493949	normal_gut
RASK00000090MP	2473332	373473132	normal_gut
RASK00000092MP	2906545	438888295	normal_gut
RASK00000095MP	5551738	838312438	normal_gut
RASK00000096MP	1773811	267845461	normal_gut
RASK00000097MP	2864508	432540708	normal_gut
RASK00000099MP	0	0	normal_gut
RASK00000100MP	4880488	736953688	normal_gut
RASK00000102MP	2022236	305357636	normal_gut
UCPr00000002MP	14501683	2189754133	uc
UCPr00000004MP	14712886	2221645786	uc
UCPr00000007MP	1448733	218758683	uc
UCPr00000009MP	12168729	1837478079	uc
UCPr00000010MP	29013666	4381063566	uc
UCPr00000011MP	13026586	1967014486	uc
UCPr00000012MP	13047478	1970169178	uc
UCPr00000013MP	11095536	1675425936	uc
UCPr00000014MP	7655478	1155977178	uc
UCPr00000016MP	2995400	452305400	uc
UCPr00000017MP	16448749	2483761099	uc
UCPr00000018MP	18183217	2745665767	uc
UCPr00000019MP	5657233	854242183	uc
UCPr00000020MP	2229793	336698743	uc
UCPr00000021MP	13779	2080629	uc
UCPr00000022MP	1787525	269916275	uc
UCPr00000024MP	24101560	3639335560	uc
UCPr00000025MP	16318652	2464116452	uc
UCPr00000026MP	10698284	1615440884	uc
UCPr00000028MP	1722902	260158202	uc
UCPr00000030MP	1255727	189614777	uc
UCPr00000031MP	22726381	3431683531	uc
UCPr00000032MP	18732486	2828605386	uc
