sample_barcode	num_contigs	total_length	N50	total_length_binned	read_n50	bp	study_group	perc_binned
ASYM00000001MP	7451	0.245	232680	192108274	3900	22.963047369	healthy_pouch	0.7828754476027995
ASYM00000002MP	9845	0.107	25011	59544258	1639	15.162326222	healthy_pouch	0.5554773096095871
ASYM00000003MP	12010	0.159	55359	98705047	1595	14.214044143	healthy_pouch	0.6197358081415133
ASYM00000005MP	24959	0.347	40371	211737145	2908	14.956502906	healthy_pouch	0.6102758060148988
ASYM00000006MP	8956	0.188	180529	149269024	2871	25.719059	healthy_pouch	0.7926600989778574
Asym00000007MP	27536	0.426	53091	251681384	2542	40.542610921	healthy_pouch	0.5906145855632864
ASYM00000007MP	14750	0.246	49395	160230777	2563	17.122948074	healthy_pouch	0.6516761926787823
ASYM00000008MP	16781	0.294	86767	203598556	3278	15.96882649	healthy_pouch	0.6921264842653191
ASYM00000009MP	10606	0.157	63947	112234494	2390	10.159634274	healthy_pouch	0.7139897304485927
ASYM00000010MP	8492	0.125	47381	82410380	1874	13.022637383	healthy_pouch	0.6579938510714236
ASYM00000011MP	14637	0.16	30713	91005879	2116	10.346171965	healthy_pouch	0.5694261844427336
ASYM00000012MP	23045	0.228	20486	118501886	2483	14.555916132	healthy_pouch	0.5205289667343798
ASYM00000013MP	14895	0.192	31107	103103882	3392	7.369174412	healthy_pouch	0.5373227445652125
ASYM00000014MP	9629	0.118	35646	66129606	2803	42.600556881	healthy_pouch	0.5590073377145242
ASYM00000015MP	15740	0.167	42014	84619540	2766	37.805121278	healthy_pouch	0.5063295426225344
ASYM00000016MP	10490	0.124	33108	74384997	1809	8.044911591	healthy_pouch	0.6004084860351325
ASYM00000017MP	8173	0.1	38828	63424503	2336	6.613356639	healthy_pouch	0.6344658114130555
ASYM00000018MP	27734	0.278	19495	144823926	2574	10.392507021	healthy_pouch	0.5205537008581981
ASYM00000019MP	2212	0.025	34603	15957387	2562	3.191634041	healthy_pouch	0.6346629990183783
ASYM00000020MP	NA	NA	NA	NA	4054	17.355005128	healthy_pouch	NA
ASYM00000021MP	11802	0.144	38603	94631422	1600	15.163388905	healthy_pouch	0.6566126894924141
ASYM00000022MP	NA	NA	NA	NA	3604	5.410541018	healthy_pouch	NA
ASYM00000023MP	10165	0.165	88114	106571827	2830	14.356122857	healthy_pouch	0.6466536800947621
ASYM00000025MP	13521	0.098	10899	59109707	1408	6.285247782	healthy_pouch	0.6041570668569698
ASYM00000026MP	21056	0.269	52083	180797447	1976	21.676001882	healthy_pouch	0.6728793248957019
ASYM00000027MP	NA	NA	NA	NA	2640	7.259978831	healthy_pouch	NA
ASYM00000028MP	8451	0.083	16691	32400738	1869	10.165601614	healthy_pouch	0.3923928245194587
ASYM00000029MP	5796	0.062	24533	44687123	2258	7.014859388	healthy_pouch	0.7235139291145789
