sample_barcode	journal	lib_id	library_plate	sample_seq_id	seq_id	R1	R2
PaOp00000033MP	MP024	LIB-MP024-H7	LIB00011	LIB00011-MP024-H7_1	LIB00011-MP024-MJ363_H7	-	-
PaOp00000033MP	MP013	LIB-MP013-A2	LIB00007	LIB00007-MP013-A2_1	LIB00007-MP014-A2	-	-
PaPr00000037MP	MP013	LIB-MP013-B3	LIB00007	LIB00007-MP013-B3_1	LIB00007-MP014-B3	-	-
PaPr00000052MP	MP013	LIB-MP013-D3	LIB00007	LIB00007-MP013-D3_1	LIB00007-MP014-D3	-	-
PaPr00000039MP	MP007	LIB-MP007-A12	LIB00001	LIB00001-MP007-A12_1	LIB00001-MP001-A12	-	-
PaPr00000178MP	MP013	LIB-MP013-E2	LIB00007	LIB00007-MP013-E2_1	LIB00007-MP014-E2	-	-
DoBa00000049MP	MP024	LIB-MP024-E7	LIB00011	LIB00011-MP024-E7_1	LIB00011-MP024-MJ363_E7	-	-
PaPr00000100MP	MP007	LIB-MP007-A4	LIB00001	LIB00001-MP007-A4_1	LIB00001-MP001-A4	-	-
DoBa00000047MP	MP007	LIB-MP007-A5	LIB00001	LIB00001-MP007-A5_1	LIB00001-MP001-A5	-	-
PaPr00000184MP	MP007	LIB-MP007-A6	LIB00001	LIB00001-MP007-A6_1	LIB00001-MP001-A6	-	-
PaOp00000062MP	MP007	LIB-MP007-A7	LIB00001	LIB00001-MP007-A7_1	LIB00001-MP001-A7	-	-
PaPr00000087MP	MP007	LIB-MP007-A8	LIB00001	LIB00001-MP007-A8_1	LIB00001-MP001-A8	-	-
PaPr00000001MP	MP013	LIB-MP013-A3	LIB00007	LIB00007-MP013-A3_1	LIB00007-MP014-A3	-	-
PaOp00000057MP	MP013	LIB-MP013-B2	LIB00007	LIB00007-MP013-B2_1	LIB00007-MP014-B2	-	-
PaPr00000038MP	MP007	LIB-MP007-B10	LIB00001	LIB00001-MP007-B10_1	LIB00001-MP001-B10	-	-
PaPr00000055MP	MP007	LIB-MP007-B11	LIB00001	LIB00001-MP007-B11_1	LIB00001-MP001-B11	-	-
PaPr00000044MP	MP007	LIB-MP007-B12	LIB00001	LIB00001-MP007-B12_1	LIB00001-MP001-B12	-	-
PaPr00000056MP	MP007	LIB-MP007-B2	LIB00001	LIB00001-MP007-B2_1	LIB00001-MP001-B2	-	-
PaPr00000179MP	MP013	LIB-MP013-G2	LIB00007	LIB00007-MP013-G2_1	LIB00007-MP014-G2	-	-
DoBa00000054MP	MP007	LIB-MP007-B4	LIB00001	LIB00001-MP007-B4_1	LIB00001-MP001-B4	-	-
PaPr00000130MP	MP007	LIB-MP007-B5	LIB00001	LIB00001-MP007-B5_1	LIB00001-MP001-B5	-	-
PaPr00000144MP	MP007	LIB-MP007-B6	LIB00001	LIB00001-MP007-B6_1	LIB00001-MP001-B6	-	-
PaPr00000159MP	MP007	LIB-MP007-B7	LIB00001	LIB00001-MP007-B7_1	LIB00001-MP001-B7	-	-
PaNP00000008MP	MP007	LIB-MP007-B8	LIB00001	LIB00001-MP007-B8_1	LIB00001-MP001-B8	-	-
PaPr00000009MP	MP007	LIB-MP007-B9	LIB00001	LIB00001-MP007-B9_1	LIB00001-MP001-B9	-	-
DoBa00000032MP	MP007	LIB-MP007-C1	LIB00001	LIB00001-MP007-C1_1	LIB00001-MP001-C1	-	-
LIB-MP007-C10	MP007	LIB-MP007-C10	LIB00001	LIB00001-MP007-C10_1	LIB00001-MP001-C10	-	-
PaPr00000059MP	MP007	LIB-MP007-C11	LIB00001	LIB00001-MP007-C11_1	LIB00001-MP001-C11	-	-
PaPr00000128MP	MP007	LIB-MP007-C2	LIB00001	LIB00001-MP007-C2_1	LIB00001-MP001-C2	-	-
LIB-MP007-C3	MP007	LIB-MP007-C3	LIB00001	LIB00001-MP007-C3_1	LIB00001-MP001-C3	-	-
PaPr00000064MP	MP007	LIB-MP007-C4	LIB00001	LIB00001-MP007-C4_1	LIB00001-MP001-C4	-	-
PaOp00000019MP	MP007	LIB-MP007-C5	LIB00001	LIB00001-MP007-C5_1	LIB00001-MP001-C5	-	-
PaPr00000041MP	MP007	LIB-MP007-C6	LIB00001	LIB00001-MP007-C6_1	LIB00001-MP001-C6	-	-
PaOp00000026MP	MP007	LIB-MP007-C7	LIB00001	LIB00001-MP007-C7_1	LIB00001-MP001-C7	-	-
PaOp00000031MP	MP007	LIB-MP007-C8	LIB00001	LIB00001-MP007-C8_1	LIB00001-MP001-C8	-	-
PaPr00000022MP	MP007	LIB-MP007-C9	LIB00001	LIB00001-MP007-C9_1	LIB00001-MP001-C9	-	-
PaPr00000122MP	MP007	LIB-MP007-D1	LIB00001	LIB00001-MP007-D1_1	LIB00001-MP001-D1	-	-
PaPr00000040MP	MP007	LIB-MP007-D10	LIB00001	LIB00001-MP007-D10_1	LIB00001-MP001-D10	-	-
PaPr00000060MP	MP007	LIB-MP007-D11	LIB00001	LIB00001-MP007-D11_1	LIB00001-MP001-D11	-	-
LIB-MP007-D12	MP007	LIB-MP007-D12	LIB00001	LIB00001-MP007-D12_1	LIB00001-MP001-D12	-	-
PaPr00000108MP	MP007	LIB-MP007-D2	LIB00001	LIB00001-MP007-D2_1	LIB00001-MP001-D2	-	-
