#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_4	3666924	992	N	N	3	*	404,409,4,763
contig_253	2336467	75	N	N	1	*	253
contig_122	762602	916	N	N	2	*	405,122,-409,-404
contig_250	627497	95	N	N	1	*	-751,250,-751
contig_22	513409	92	N	N	1	*	-94,22
contig_411	451517	844	N	N	2	*	404,408,411,763
contig_21	405639	102	N	N	1	*	95,21
contig_26	390989	85	N	N	1	*	*,26
contig_252	250105	111	N	N	1	*	-751,252,751
contig_99	200603	96	N	N	1	*	95,96,99
contig_729	132688	101	N	N	1	*	95,729
contig_3	93918	4845	Y	N	14	*	3
contig_723	81117	109	N	N	1	*	723,98,97
contig_100	74446	87	N	N	1	*	100
contig_347	63237	103	N	N	1	*	95,347
contig_251	62583	114	N	N	1	*	-751,251
contig_430	54828	256	Y	N	2	*	430
contig_361	51695	43	Y	N	1	*	361
contig_736	51639	10	N	N	1	*	*,736,*
contig_759	49339	181	Y	N	2	*	759
contig_741	49122	12	N	N	1	*	*,741,*
contig_776	45070	13	N	N	1	*	*,776,*
contig_34	44917	74	Y	N	1	*	34
contig_731	39751	11	N	Y	1	*	731,*
contig_289	35896	10	N	N	1	*	*,289,*
contig_762	32815	12	N	N	1	*	*,762,*
contig_768	31458	11	N	N	1	*	*,768,*
contig_730	30782	12	N	N	1	*	*,730,*
contig_747	30561	11	N	N	1	*	*,-731,193,747,*
contig_195	28996	15	N	N	1	*	*,-731,193,195,*
contig_215	28904	11	N	N	1	*	*,215,*
contig_765	26991	10	N	N	1	*	*,765,*
contig_339	26790	10	N	N	1	*	*,339,*
contig_767	25882	8	N	N	1	*	*,767,*
contig_770	25428	12	N	N	1	*	*,770,*
contig_410	24335	739	N	N	2	*	404,408,410,-405
contig_477	24309	10	N	N	1	*	*,477,*
contig_756	23967	11	N	N	1	*	*,756,*
contig_733	23665	6	N	N	1	*	*,733,*
contig_718	22287	10	N	N	1	*	*,718,*
contig_656	22082	10	N	N	1	*	*,656,*
contig_764	21797	12	N	N	1	*	*,764,*
contig_726	21743	11	N	N	1	*	*,726,*
contig_746	21426	8	N	N	1	*	*,-731,746,*
contig_642	20346	9	N	N	1	*	*,642,*
contig_628	18501	7	N	N	1	*	*,628,*
contig_766	18329	10	N	N	1	*	*,766,*
contig_187	17853	7	N	N	1	*	*,187,*
contig_738	17804	10	N	N	1	*	*,738,*
contig_398	17736	10	N	N	1	*	*,398,*
contig_353	17598	8	N	N	1	*	*,353,*
contig_719	17372	8	N	N	1	*	*,719,*
contig_724	16979	8	N	N	1	*	*,724,*
contig_487	16812	12	N	N	1	*	*,487,*
contig_271	16765	7	N	N	1	*	*,271,*
contig_735	16556	10	N	N	1	*	*,735,*
contig_754	16482	10	N	N	1	*	*,754,*
contig_415	15911	10	N	N	1	*	*,415,*
contig_425	15883	12	N	N	1	*	*,425,*
contig_148	15662	11	N	N	1	*	*,148,*
contig_465	15264	49	N	Y	1	64	*,465,*
contig_755	15254	9	N	N	1	*	*,755,*
contig_774	15218	16	N	N	2	*	*,774,*
contig_748	15027	11	N	N	1	*	*,748,*
contig_103	14695	10	N	N	1	*	*,103,*
contig_546	14618	5	N	N	1	*	*,546,*
contig_471	14349	8	N	N	1	*	*,471,*
contig_737	14245	8	N	N	2	*	*,737,*
contig_488	14141	4	N	N	1	*	*,488,*
contig_224	13587	5	N	N	1	*	*,224,*
contig_191	13289	9	N	N	1	*	*,191,*
contig_576	12986	5	N	N	1	*	*,576,*
contig_771	12890	488	Y	N	2	*	771
contig_518	12655	10	N	N	1	*	*,518,*
contig_396	12615	28	N	Y	1	62	396,*
contig_587	12549	7	N	N	1	*	*,587,*
contig_580	12351	5	N	N	1	*	*,580,*
contig_427	12128	10	N	N	1	*	*,427,*
contig_760	12049	20	N	Y	1	62	760,*
contig_88	11919	8	N	N	1	*	*,88,*
contig_375	11837	9	N	N	1	*	*,375,*
contig_453	11762	6	N	N	1	*	*,453,*
contig_367	11711	8	N	N	1	*	*,367,*
contig_405	11591	1639	N	Y	4	*	405
contig_763	11479	568	N	Y	1	*	763
contig_10	11379	9	N	N	1	*	*,10,*
contig_528	11248	12	N	N	1	*	*,528,*
contig_769	11058	9	N	N	1	*	*,769,*
contig_244	10803	11	N	N	1	*	*,244,*
contig_75	10790	22	Y	Y	1	12	75
contig_716	10507	8	N	N	2	*	*,716,*
contig_541	10203	6	N	N	1	*	*,541,*
contig_432	10146	7	N	N	1	*	*,432,*
contig_484	10143	9	N	N	1	*	*,484,*
contig_192	10141	9	N	N	1	*	*,192,*
contig_749	10089	10	N	N	1	*	*,749,*
contig_745	10038	11	N	N	1	*	*,745,*
contig_168	10027	10	N	N	1	*	*,168,*
contig_429	9711	6	N	N	1	*	*,429,*
contig_280	9707	6	N	N	1	*	*,280,*
contig_495	9693	10	N	N	1	*	*,495,*
contig_15	9603	10	N	N	1	*	*,15,*
contig_227	9590	4	N	N	1	*	*,227,*
contig_611	9478	8	N	N	1	*	*,611,*
contig_392	9336	8	N	N	1	*	*,392,*
contig_23	9290	21	Y	Y	1	8	23
contig_25	9258	53	N	Y	1	66	*,25,*
contig_743	9175	11	N	N	2	*	*,743,*
contig_388	9129	19	Y	Y	1	16	388
contig_311	9128	20	N	Y	1	60	*,311,*
contig_291	9070	5	N	N	1	*	*,291,*
contig_287	9062	13	N	N	1	*	*,287,*
contig_742	9051	4	N	N	1	*	*,742,*
contig_761	8917	9	N	N	1	*	*,761,*
contig_142	8895	10	N	N	1	*	*,142,*
contig_602	8882	10	N	N	1	*	*,602,*
contig_705	8843	9	N	N	1	*	*,705,*
contig_216	8826	7	N	N	1	*	*,216,*
contig_706	8815	9	N	N	1	*	*,706,*
contig_734	8784	8	N	N	2	*	*,734,*
contig_739	8728	12	N	N	1	*	*,739,*
contig_775	8646	14	N	N	1	*	*,775,*
contig_632	8644	5	N	N	1	*	*,632,*
contig_246	8621	8	N	N	1	*	*,246,*
contig_717	8467	5	N	N	1	*	*,717,*
contig_697	8450	7	N	N	1	*	*,697,*
contig_319	8438	5	N	N	1	*	*,319,*
contig_655	8434	11	N	N	1	*	*,655,*
contig_515	8413	8	N	N	2	*	*,515,*
contig_721	8382	5	N	N	1	*	*,721,*
contig_102	8351	4	N	N	1	*	*,102,*
contig_579	8337	12	N	N	1	*	*,579,*
contig_499	8288	5	N	N	1	*	*,499,*
contig_648	8244	9	N	N	1	*	*,648,*
contig_123	8208	7	N	N	1	*	*,123,*
contig_124	8189	7	N	N	1	*	*,124,*
contig_359	8111	8	N	N	1	*	*,359,*
contig_752	8070	5	N	N	1	*	*,752,*
contig_720	7979	21	Y	Y	1	20	720
contig_455	7955	9	N	N	1	*	*,455,*
contig_139	7927	11	N	N	2	*	*,139,*
contig_583	7906	4	N	N	1	*	*,583,*
contig_433	7872	11	N	N	1	*	*,433,*
contig_240	7869	7	N	N	1	*	*,240,*
contig_71	7779	21	Y	Y	1	10	71
contig_615	7729	7	N	N	1	*	*,615,*
contig_740	7691	9	N	N	1	*	*,740,*
contig_418	7645	10	N	N	1	*	*,418,*
contig_631	7630	8	N	N	1	*	*,631,*
contig_692	7599	4	N	N	1	*	*,692,*
contig_334	7592	8	N	N	1	*	*,334,*
contig_539	7584	4	N	N	1	*	*,539,*
contig_668	7569	5	N	N	1	*	*,668,*
contig_566	7481	9	N	N	1	*	*,566,*
contig_483	7469	5	N	N	1	*	*,483,*
