sample bin completeness_checkm2 contamination_checkm2 bakta_trna_all bakta_trna_uniq bakta_16s bakta_23s bakta_5s barrnap_16s barrnap_23s barrnap_5s custom_trna_uniq operon mimag
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.100 95.66 0.56 50 21 3 3 3 3 3 3 21 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.101 93.9 3.9 56 20 5 5 5 5 5 5 19 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.102 99.8 0.03 56 21 2 2 2 2 2 2 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.103 98.85 0 61 21 8 7 7 8 7 7 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.104 96.74 0.32 60 22 4 4 4 4 4 4 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.105 99.08 2.95 36 20 2 2 2 2 2 2 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.106 100 0.96 54 21 3 3 4 3 3 4 21 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.107 99.99 3.9 66 21 7 7 7 7 7 7 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.108 95.31 2.43 54 20 2 2 3 2 3 3 20 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.109 96.49 0.62 52 20 3 3 3 3 3 3 21 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.110 99.81 3.7 58 20 4 4 4 4 4 4 21 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.111 96.41 0.03 59 21 4 4 4 4 4 4 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.112 99.06 3.76 36 20 2 2 2 2 2 2 21 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.113 90.67 0.06 53 21 5 5 5 5 5 5 18 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.116 95.59 2.03 52 18 5 6 3 5 6 3 18 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.118 92.42 3.31 67 21 4 4 5 4 4 5 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.119 98.14 0.19 57 21 6 6 6 6 6 6 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.120 96.54 0.96 62 21 4 4 4 4 4 0 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.121 99.99 1.99 72 21 5 5 5 5 5 5 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.122 94.63 1.31 48 21 4 5 6 4 5 6 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.123 96.26 3.27 35 18 1 1 1 1 1 1 19 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.126 93.47 2.51 32 21 2 2 2 2 2 2 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.127 94.58 0.61 51 21 3 3 3 3 3 3 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.129 96.93 3.23 50 20 6 6 5 6 6 5 21 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.130 99.65 2.48 30 18 2 3 3 2 3 2 20 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.131 100 0.22 78 21 7 7 7 7 7 6 20 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.132 91.28 0.01 58 20 6 6 6 6 6 6 20 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.136 90.28 0.86 48 20 3 3 3 3 3 3 20 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.139 94.67 3.81 45 21 2 1 3 2 1 3 21 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.140 92.93 2.05 43 21 2 2 2 2 2 2 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.141 95.81 0.91 64 20 4 4 3 4 4 3 20 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.144 90.54 0.97 50 21 4 4 4 4 4 0 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.147 94.26 4.35 55 21 4 4 4 4 4 0 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.150 93.33 2.06 44 21 3 3 3 3 3 3 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.157 95.11 4.12 48 21 1 2 4 1 2 4 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.16 92.97 1.82 59 21 4 4 4 4 4 4 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.161 97.21 0.31 29 19 2 2 2 2 2 2 20 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.168 99.89 1.58 84 21 6 6 6 6 6 6 21 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.17 100 1.18 53 21 3 3 3 3 3 3 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.173 90.8 4.98 41 19 1 1 1 1 1 1 19 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.175 90.69 1.08 40 18 1 1 1 1 1 1 19 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.178 99.95 1.96 61 21 4 6 4 4 6 4 19 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.179 99.98 2.42 64 21 4 8 4 4 8 4 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.181 93.74 0.85 70 21 5 6 6 5 6 6 20 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.23 91.19 0.14 32 21 1 1 1 1 1 1 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.24 97.32 1.25 52 20 3 3 3 3 3 3 21 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.37 99.97 1.38 82 21 7 7 7 7 7 7 21 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.4 99.69 0.18 40 19 2 1 1 2 1 1 20 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.44 99.72 0.21 53 21 2 2 3 2 2 3 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.5 99.45 0.08 51 21 2 2 2 2 2 2 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.50 92.72 0.85 47 22 4 4 4 4 4 4 21 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.54 97.81 0.57 46 20 2 2 2 2 2 2 21 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.6 99.99 0.24 65 21 6 5 3 6 5 3 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.60 99.9 0.26 55 20 4 5 5 4 5 5 21 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.63 99.92 0.16 45 21 2 2 2 2 2 2 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.67 100 0.54 62 21 5 5 5 5 5 0 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.7 100 0.24 45 20 2 1 1 2 1 1 21 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.70 100 0.73 57 21 4 4 4 4 4 4 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.73 97.14 0.41 60 20 6 6 6 6 6 6 20 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.75 99.99 0.39 36 20 3 4 4 3 4 4 20 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.76 99.98 1.6 47 21 4 4 4 4 4 0 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.77 99.83 0.03 45 21 3 3 3 3 3 3 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.78 97.55 0.12 46 21 1 1 1 1 1 1 21 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.79 96.87 1.25 39 21 2 2 2 2 2 2 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.8 98.19 0.59 51 22 4 4 4 4 4 4 21 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.80 98.37 0.76 78 21 7 7 6 7 7 6 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.81 90.3 0.31 47 20 3 3 3 3 3 3 21 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.82 100 0.38 62 21 4 4 4 4 4 4 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.83 98.97 0.99 57 20 7 7 7 7 7 0 21 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.84 99.28 0.06 51 21 3 3 3 3 3 3 21 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.85 99.2 0.41 43 21 1 1 1 1 1 1 20 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.86 97.33 1.76 43 21 3 3 4 3 3 4 20 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.87 98.89 0.53 62 21 7 7 7 7 7 0 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.88 97.04 0.48 54 21 3 3 4 3 3 4 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.89 97.65 0.09 65 21 4 4 4 4 4 0 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.90 98.04 1.27 52 21 3 3 3 3 3 3 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.91 99.23 3.32 35 21 2 2 4 2 2 4 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.93 99.98 0.7 65 21 5 5 5 5 5 2 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.94 100 0.95 55 21 3 3 3 3 3 3 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.95 96.92 0.31 58 21 6 6 6 6 6 6 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.96 99.54 0.03 58 21 6 6 6 6 6 6 22 1 HQ
